citi_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
179,cabo san lucas,5,MX,1566944574,55,22.89,-109.91,306.48,4.6
180,ngunguru,3,NZ,1566944715,70,-35.62,174.5,285.93,3.76
181,acajutla,24,SV,1566944715,70,13.59,-89.83,302.2,1.9
182,dongsheng,94,CN,1566944715,93,29.72,112.52,295.9,3.71
183,hasaki,75,JP,1566944715,100,35.73,140.83,297.59,4.1
184,vardo,75,US,1566944715,64,39.62,-77.74,299.26,4.1
185,herat,0,AF,1566944715,22,34.35,62.22,294.15,1.5
186,tanout,31,NE,1566944716,42,14.97,8.88,304.7,2.61
187,kirkland lake,75,CA,1566944716,83,48.15,-80.03,295.15,6.7
188,eyl,100,SO,1566944716,67,7.98,49.82,297.2,11.4
189,laibin,22,CN,1566944716,91,23.74,109.23,297.8,0.34
190,nioki,44,CD,1566944716,57,-2.72,17.69,300.8,2.13
191,mount gambier,75,AU,1566944716,93,-37.83,140.78,283.15,5.1
192,palmer,75,AU,1566944716,93,-34.85,139.16,283.15,3.6
193,kabare,48,RW,1566944716,93,-1.65,29.38,286.5,0.76
194,egvekinot,100,RU,1566944686,72,66.32,-179.17,284.1,2.27
195,cayenne,0,GF,1566944717,78,4.94,-52.33,301.15,3.1
196,baykit,6,RU,1566944717,91,61.68,96.39,280.1,1.66
197,goure,86,NE,1566944717,90,13.98,10.27,296.48,5.7
198,nanortalik,92,GL,1566944717,76,60.14,-45.24,279.7,1.35
199,puerto ayora,20,EC,1566944717,61,-0.74,-90.35,300.15,8.7
200,liverpool,75,GB,1566944469,88,53.41,-2.98,291.48,2.1
201,biak,93,ID,1566944690,96,-0.91,122.88,288.6,2.48
202,qianan,82,CN,1566944717,90,44.99,124.06,287.8,1.62
203,suyan,0,CN,1566944717,93,22.77,110.13,298.1,0.48
204,nome,1,US,1566944718,55,30.04,-94.42,307.15,2.6
205,geraldton,75,CA,1566944718,72,49.72,-86.95,290.15,6.2
206,sivas,0,TR,1566944718,87,39.75,37.01,285.37,3.6
207,igbo ora,100,NG,1566944718,94,7.43,3.28,296.6,3.42
208,kaoma,94,ZM,1566944718,40,-14.8,24.8,295.5,1.35
209,mabaruma,63,GY,1566944718,79,8.2,-59.78,302.3,1.33
210,erzin,0,TR,1566944718,78,36.95,36.2,300.93,3.6
211,camrose,75,CA,1566944718,45,53.01,-112.84,294.82,3.1
212,verkhnyaya inta,78,RU,1566944718,83,65.99,60.32,274.4,3.66
213,kodiak,1,US,1566944627,47,39.95,-94.76,299.26,4.1
214,sinnamary,0,GF,1566944719,79,5.38,-52.96,301.0,7.43
215,conceicao da barra,71,BR,1566944719,76,-18.59,-39.73,292.1,3.21
216,airai,7,TL,1566944625,79,-8.93,125.41,291.2,2.2
217,qiqihar,100,CN,1566944719,94,47.35,123.91,287.6,2.31
218,sola,80,TZ,1566944719,78,-3.17,33.8,293.1,2.47
219,chumikan,0,RU,1566944719,73,54.72,135.31,283.9,4.45
220,mount darwin,1,ZW,1566944719,53,-16.77,31.58,289.3,0.77
221,yulara,0,AU,1566944702,48,-25.24,130.99,279.15,3.1
222,aksarka,97,RU,1566944693,78,66.56,67.8,278.3,8.53
223,kloulklubed,75,PW,1566944720,88,7.04,134.26,299.15,2.1
224,victoria,75,BN,1566944714,88,5.28,115.24,298.15,1.5
225,roebourne,1,AU,1566944720,89,-20.77,117.15,288.5,2.35
226,nichinan,75,JP,1566944720,94,31.65,131.31,298.15,1.5
227,sorland,75,NO,1566944720,93,67.67,12.69,286.15,3.1
228,pisco,90,PE,1566944720,30,-13.71,-76.2,295.15,4.1
229,mount pleasant,1,US,1566944720,78,33.16,-94.97,304.26,3.45
230,ossora,100,RU,1566944721,98,59.24,163.07,283.3,1.36
231,hami,9,CN,1566944721,17,42.84,93.51,298.6,3.14
232,chimbote,54,PE,1566944721,87,-9.08,-78.59,288.2,3.87
233,lebu,40,ET,1566944721,93,8.96,38.73,286.15,4.1
234,namatanai,83,PG,1566944436,88,-3.66,152.44,299.0,5.81
